Row,Script,Duration
1,Survey the Area,144
2,The very first rule in responding to emergencies,289
3,Is to ask is the area safe,199
4,Do not try to save someone,261
5,if it will be dangerous for you,271
6,"If the area is not safe, ",273
7,call an ambulance right away,267
8," In the scene, watch out for",281
9, sharp and dangerous objects.,255
10,"Like knives, scissors, live wire, or fire",533
11,Make sure to set these aside before you continue.,443
12," If it is outdoors, watch out for passing cars",413
